Tissue,Cell Type,Cell Count,Tissue Composition,Sex,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
brain,female,2253782,0.79%,female,AC159540.1,1.836909306,0.16714628,72272
brain,female,2253782,0.51%,female,RP11-289H16.1,1.865337869,0.17786538,46538
brain,female,2253782,0.28%,female,RP11-219A15.1,1.800964346,0.153593094,25708
brain,female,2253782,0.07%,female,LINC01609,1.879618273,0.183249861,6475
brain,female,2253782,1.19%,female,PHYHIP,1.852546847,0.173042475,108011
brain,female,2253782,0.30%,female,RP11-745L13.2,1.810139401,0.157052584,26986
brain,female,116,,female,SLC26A3,,,
brain,female,116,0.00%,female,RASGEF1B,2.279936314,0.334191327,3
brain,female,116,,female,RP11-701H24.9,,,
brain,female,116,,female,LINGO3,,,
brain,female,116,0.00%,female,PDE4DIP,2.411326322,0.383732438,11
brain,female,116,,female,AC159540.1,,,
brain,female,116,,female,RP11-289H16.1,,,
brain,female,116,,female,RP11-219A15.1,,,
brain,female,116,,female,LINC01609,,,
brain,female,116,,female,PHYHIP,,,
brain,female,116,,female,RP11-745L13.2,,,
brain,male,10,,male,SLC26A3,,,
brain,male,10,,male,RASGEF1B,,,
brain,male,10,,male,RP11-701H24.9,,,
brain,male,10,,male,LINGO3,,,
brain,male,10,,male,PDE4DIP,,,
brain,male,10,,male,AC159540.1,,,
brain,male,10,,male,RP11-289H16.1,,,
brain,male,10,,male,RP11-219A15.1,,,
brain,male,10,,male,LINC01609,,,
brain,male,10,,male,PHYHIP,,,
brain,male,10,,male,RP11-745L13.2,,,
brain,male,654796,0.31%,male,SLC26A3,2.086809691,0.261372187,28650
brain,male,654796,0.46%,male,RASGEF1B,2.608476793,0.458068786,41602
brain,male,654796,0.22%,male,RP11-701H24.9,2.110569846,0.270331045,20083
brain,male,654796,0.05%,male,LINGO3,1.913297614,0.195948787,4249
brain,male,654796,0.43%,male,PDE4DIP,1.794969787,0.151332822,38808
brain,male,654796,0.17%,male,AC159540.1,1.856124668,0.174391506,15621
brain,male,654796,0.06%,male,RP11-289H16.1,1.891083858,0.187573004,5659
brain,male,654796,0.02%,male,RP11-219A15.1,1.917284366,0.197452007,1916
brain,male,654796,0.09%,male,LINC01609,2.338784355,0.356380209,8571
brain,male,654796,0.08%,male,PHYHIP,1.825978758,0.163024875,6938
brain,male,654796,0.06%,male,RP11-745L13.2,1.917210896,0.197424305,5443
brain,female,300802,0.07%,female,SLC26A3,1.718173726,0.12237657,6387
brain,female,300802,0.05%,female,RASGEF1B,1.981599716,0.221702359,4908
brain,female,300802,0.06%,female,RP11-701H24.9,2.213552448,0.309161034,5042
brain,female,300802,0.00%,female,LINGO3,1.68236039,0.108873013,434
brain,female,300802,0.29%,female,PDE4DIP,1.697597805,0.114618339,26494
brain,female,300802,0.12%,female,AC159540.1,1.673440361,0.105509682,10648
brain,female,300802,0.02%,female,RP11-289H16.1,1.74610001,0.132906283,1794
brain,female,300802,0.00%,female,RP11-219A15.1,1.971586439,0.217926814,9
brain,female,300802,0.00%,female,LINC01609,1.727405282,0.125857364,172
brain,female,300802,0.03%,female,PHYHIP,1.653019832,0.097810042,2886
brain,female,300802,0.01%,female,RP11-745L13.2,1.65536888,0.09869576,557
brain,male,466767,0.20%,male,SLC26A3,1.678696586,0.107491562,18100
