Tissue,Cell Type,Cell Count,Tissue Composition,Sex,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
brain,male,3345,0.00%,male,SLC26A3,1.800110666,0.15327121,19
brain,male,3345,0.00%,male,RASGEF1B,1.626455116,0.087793713,40
brain,male,3345,0.03%,male,RP11-701H24.9,1.846895414,0.17091158,2612
brain,male,3345,,male,LINGO3,,,
brain,male,3345,,male,PDE4DIP,,,
brain,male,3345,,male,AC159540.1,,,
brain,male,3345,,male,RP11-289H16.1,,,
brain,male,3345,,male,RP11-219A15.1,,,
brain,male,3345,,male,LINC01609,,,
brain,male,3345,0.00%,male,PHYHIP,1.636528515,0.091591927,351
brain,male,3345,,male,RP11-745L13.2,,,
brain,female,860,0.00%,female,SLC26A3,1.393613815,0,1
brain,female,860,0.00%,female,RASGEF1B,1.55303688,0.060111084,10
brain,female,860,0.01%,female,RP11-701H24.9,1.951050264,0.21018357,798
brain,female,860,,female,LINGO3,,,
brain,female,860,,female,PDE4DIP,,,
brain,female,860,,female,AC159540.1,,,
brain,female,860,,female,RP11-289H16.1,,,
brain,female,860,,female,RP11-219A15.1,,,
brain,female,860,,female,LINC01609,,,
brain,female,860,0.00%,female,PHYHIP,1.648017677,0.09592396,185
brain,female,860,,female,RP11-745L13.2,,,
brain,male,23757,0.01%,male,SLC26A3,1.74973764,0.134277866,737
brain,male,23757,0.00%,male,RASGEF1B,1.716438548,0.121722314,30
brain,male,23757,0.01%,male,RP11-701H24.9,2.03192883,0.240679146,738
brain,male,23757,0.00%,male,LINGO3,1.65034771,0.096802508,28
brain,male,23757,0.01%,male,PDE4DIP,1.555175178,0.060917337,809
brain,male,23757,0.00%,male,AC159540.1,1.591014845,0.074430822,219
brain,male,23757,,male,RP11-289H16.1,,,
brain,male,23757,,male,RP11-219A15.1,,,
brain,male,23757,,male,LINC01609,,,
brain,male,23757,0.00%,male,PHYHIP,1.588082813,0.073325288,252
brain,male,23757,,male,RP11-745L13.2,,,
brain,female,18963,0.00%,female,SLC26A3,1.686077345,0.110274506,285
brain,female,18963,0.00%,female,RASGEF1B,1.614046006,0.08311481,42
brain,female,18963,0.00%,female,RP11-701H24.9,2.139446603,0.281219138,365
brain,female,18963,0.00%,female,LINGO3,1.589341545,0.073799898,40
brain,female,18963,0.01%,female,PDE4DIP,1.59356894,0.075393853,1134
brain,female,18963,0.01%,female,AC159540.1,1.612589119,0.082565486,612
brain,female,18963,0.00%,female,RP11-289H16.1,1.443430305,0.0187835,1
brain,female,18963,,female,RP11-219A15.1,,,
brain,female,18963,0.00%,female,LINC01609,1.446811914,0.020058549,2
brain,female,18963,0.00%,female,PHYHIP,1.61684274,0.08416933,276
brain,female,18963,0.00%,female,RP11-745L13.2,1.617331187,0.084353501,3
brain,male,829,0.00%,male,SLC26A3,1.687353516,0.11075569,10
brain,male,829,0.00%,male,RASGEF1B,1.810271978,0.157102572,16
brain,male,829,0.01%,male,RP11-701H24.9,2.03192883,0.240679146,738
brain,male,829,,male,LINGO3,,,
brain,male,829,,male,PDE4DIP,,,
brain,male,829,,male,AC159540.1,,,
brain,male,829,,male,RP11-289H16.1,,,
brain,male,829,,male,RP11-219A15.1,,,
brain,male,829,,male,LINC01609,,,
brain,male,829,0.00%,male,PHYHIP,1.643993943,0.094406796,54
brain,male,829,,male,RP11-745L13.2,,,
brain,female,386,0.00%,female,SLC26A3,1.519546747,0.047483499,1
brain,female,386,0.00%,female,RASGEF1B,1.642773076,0.093946463,19
brain,female,386,0.00%,female,RP11-701H24.9,2.139446603,0.281219138,365
brain,female,386,,female,LINGO3,,,
brain,female,386,,female,PDE4DIP,,,
brain,female,386,,female,AC159540.1,,,
brain,female,386,,female,RP11-289H16.1,,,
brain,female,386,,female,RP11-219A15.1,,,
brain,female,386,,female,LINC01609,,,
brain,female,386,0.00%,female,PHYHIP,1.618714294,0.084875007,50
brain,female,386,,female,RP11-745L13.2,,,
brain,male,27360,0.01%,male,SLC26A3,1.637812688,0.09207613,624
brain,male,27360,0.00%,male,RASGEF1B,1.64383511,0.094346907,45
brain,male,27360,0.01%,male,RP11-701H24.9,1.839644356,0.168177541,993
brain,male,27360,0.00%,male,LINGO3,1.684933503,0.109843216,6
brain,male,27360,0.00%,male,PDE4DIP,1.570804172,0.06681031,450
brain,male,27360,0.00%,male,AC159540.1,1.583713786,0.071677929,45
brain,male,27360,,male,RP11-289H16.1,,,
brain,male,27360,,male,RP11-219A15.1,,,
brain,male,27360,,male,LINC01609,,,
brain,male,27360,0.00%,male,PHYHIP,1.626164517,0.087684142,365
brain,male,27360,,male,RP11-745L13.2,,,
brain,female,18328,0.00%,female,SLC26A3,1.631859413,0.089831424,208
brain,female,18328,0.00%,female,RASGEF1B,1.594066024,0.075581281,64
brain,female,18328,0.01%,female,RP11-701H24.9,2.084853174,0.260634475,465
brain,female,18328,0.00%,female,LINGO3,1.637000275,0.091769806,35
brain,female,18328,0.01%,female,PDE4DIP,1.533927531,0.052905829,533
brain,female,18328,0.00%,female,AC159540.1,1.584774335,0.072077814,72
brain,female,18328,,female,RP11-289H16.1,,,
brain,female,18328,,female,RP11-219A15.1,,,
brain,female,18328,,female,LINC01609,,,
brain,female,18328,0.00%,female,PHYHIP,1.629794046,0.08905267,449
brain,female,18328,,female,RP11-745L13.2,,,
brain,male,7130,0.00%,male,SLC26A3,1.83649542,0.166990222,188
brain,male,7130,,male,RASGEF1B,,,
brain,male,7130,0.00%,male,RP11-701H24.9,1.983421764,0.222389369,174
brain,male,7130,0.00%,male,LINGO3,1.636515299,0.091586944,3
brain,male,7130,0.00%,male,PDE4DIP,1.514028952,0.045402993,284
brain,male,7130,0.00%,male,AC159540.1,1.793540955,0.150794075,2
brain,male,7130,,male,RP11-289H16.1,,,
brain,male,7130,,male,RP11-219A15.1,,,
brain,male,7130,,male,LINC01609,,,
brain,male,7130,0.00%,male,PHYHIP,1.63184152,0.089824678,41
brain,male,7130,,male,RP11-745L13.2,,,
brain,female,3603,0.00%,female,SLC26A3,1.61285965,0.08266749,25
brain,female,3603,,female,RASGEF1B,,,
brain,female,3603,0.00%,female,RP11-701H24.9,2.176558999,0.295212511,68
brain,female,3603,0.00%,female,LINGO3,1.399959087,0.002392509,1
brain,female,3603,0.00%,female,PDE4DIP,1.531777322,0.052095085,222
brain,female,3603,0.00%,female,AC159540.1,1.508830547,0.043442915,4
brain,female,3603,,female,RP11-289H16.1,,,
brain,female,3603,,female,RP11-219A15.1,,,
brain,female,3603,,female,LINC01609,,,
brain,female,3603,0.00%,female,PHYHIP,1.637725472,0.092043245,32
brain,female,3603,,female,RP11-745L13.2,,,
brain,male,3547,0.00%,male,SLC26A3,2.343641794,0.358211725,361
brain,male,3547,0.02%,male,RASGEF1B,2.599178698,0.454562903,1619
brain,male,3547,,male,RP11-701H24.9,,,
brain,male,3547,0.00%,male,LINGO3,1.927794615,0.201414937,6
brain,male,3547,0.00%,male,PDE4DIP,2.076822815,0.257606597,100
brain,male,3547,0.00%,male,AC159540.1,2.07294569,0.256144712,429
brain,male,3547,0.00%,male,RP11-289H16.1,2.234283183,0.316977638,347
brain,male,3547,0.00%,male,RP11-219A15.1,1.932836822,0.203316121,33
brain,male,3547,0.00%,male,LINC01609,2.179287072,0.296241141,66
brain,male,3547,0.00%,male,PHYHIP,1.936096191,0.204545079,78
brain,male,3547,0.00%,male,RP11-745L13.2,2.223080895,0.312753772,88
brain,female,277,0.00%,female,SLC26A3,2.157853535,0.288159543,56
brain,female,277,0.00%,female,RASGEF1B,2.710688098,0.496607954,174
brain,female,277,,female,RP11-701H24.9,,,
brain,female,277,,female,LINGO3,,,
brain,female,277,0.00%,female,PDE4DIP,2.03030671,0.240067519,18
brain,female,277,0.00%,female,AC159540.1,1.879707923,0.183283664,39
brain,female,277,0.00%,female,RP11-289H16.1,2.056248771,0.249849074,36
brain,female,277,0.00%,female,RP11-219A15.1,2.037347476,0.242722267,3
brain,female,277,0.00%,female,LINC01609,1.928889116,0.201827623,12
brain,female,277,0.00%,female,PHYHIP,1.937411568,0.205041047,11
brain,female,277,0.00%,female,RP11-745L13.2,1.988000107,0.224115651,5
brain,male,30026,0.02%,male,SLC26A3,2.159284319,0.288699026,2142
brain,male,30026,0.10%,male,RASGEF1B,2.33023587,0.353156969,9249
brain,male,30026,0.00%,male,RP11-701H24.9,2.280061161,0.334238401,68
brain,male,30026,0.00%,male,LINGO3,1.71985007,0.123008642,138
brain,male,30026,0.05%,male,PDE4DIP,1.858654095,0.175345237,4897
brain,male,30026,0.03%,male,AC159540.1,1.770151263,0.141974901,2906
brain,male,30026,0.06%,male,RP11-289H16.1,2.057554189,0.250341287,5782
brain,male,30026,0.00%,male,RP11-219A15.1,1.612882266,0.082676018,406
brain,male,30026,0.01%,male,LINC01609,2.299771815,0.34167038,1322
brain,male,30026,0.06%,male,PHYHIP,1.889005676,0.186789418,5032
brain,male,30026,0.00%,male,RP11-745L13.2,1.936160772,0.204569429,396
brain,female,25955,0.02%,female,SLC26A3,1.882583645,0.184367966,1677
brain,female,25955,0.05%,female,RASGEF1B,2.07128454,0.255518369,4967
brain,female,25955,0.00%,female,RP11-701H24.9,1.945117814,0.207946717,14
brain,female,25955,0.00%,female,LINGO3,1.585018678,0.072169944,22
brain,female,25955,0.05%,female,PDE4DIP,1.746918948,0.133215067,4142
brain,female,25955,0.02%,female,AC159540.1,1.692712856,0.112776451,2231
brain,female,25955,0.03%,female,RP11-289H16.1,1.795754959,0.151628874,2794
brain,female,25955,0.00%,female,RP11-219A15.1,1.587466567,0.07309293,268
brain,female,25955,0.01%,female,LINC01609,1.906651592,0.193442879,1211
brain,female,25955,0.04%,female,PHYHIP,1.716419014,0.121714949,3290
brain,female,25955,0.00%,female,RP11-745L13.2,1.792755127,0.150497776,420
brain,male,123,0.00%,male,SLC26A3,2.383028746,0.373062727,1
brain,male,123,0.00%,male,RASGEF1B,2.188678741,0.299782306,17
brain,male,123,,male,RP11-701H24.9,,,
brain,male,123,,male,LINGO3,,,
brain,male,123,0.00%,male,PDE4DIP,1.561891397,0.063449713,6
brain,male,123,0.00%,male,AC159540.1,1.850784847,0.172378106,56
brain,male,123,0.00%,male,RP11-289H16.1,1.531233788,0.051890143,4
brain,male,123,,male,RP11-219A15.1,,,
brain,male,123,,male,LINC01609,,,
brain,male,123,,male,PHYHIP,,,
brain,male,123,,male,RP11-745L13.2,,,
brain,female,15,0.00%,female,SLC26A3,1.95731926,0.212547319,5
brain,female,15,0.00%,female,RASGEF1B,2.448399226,0.39771092,12
brain,female,15,,female,RP11-701H24.9,,,
brain,female,15,,female,LINGO3,,,
brain,female,15,,female,PDE4DIP,,,
brain,female,15,0.00%,female,AC159540.1,1.746684211,0.133126559,7
brain,female,15,0.00%,female,RP11-289H16.1,1.794028521,0.150977914,2
brain,female,15,,female,RP11-219A15.1,,,
brain,female,15,0.00%,female,LINC01609,1.785852623,0.14789516,5
brain,female,15,,female,PHYHIP,,,
brain,female,15,,female,RP11-745L13.2,,,
brain,male,7975,0.00%,male,SLC26A3,1.739021063,0.130237139,2
brain,male,7975,0.02%,male,RASGEF1B,1.799236189,0.152941485,1400
brain,male,7975,,male,RP11-701H24.9,,,
brain,male,7975,0.00%,male,LINGO3,2.065727234,0.253422965,3
brain,male,7975,0.00%,male,PDE4DIP,1.906251275,0.193291937,383
brain,male,7975,,male,AC159540.1,,,
brain,male,7975,,male,RP11-289H16.1,,,
brain,male,7975,,male,RP11-219A15.1,,,
brain,male,7975,,male,LINC01609,,,
brain,male,7975,0.00%,male,PHYHIP,1.8842628,0.185001098,2
brain,male,7975,0.00%,male,RP11-745L13.2,1.525398254,0.049689833,6
brain,female,790,,female,SLC26A3,,,
brain,female,790,0.00%,female,RASGEF1B,2.449546568,0.39814353,93
brain,female,790,,female,RP11-701H24.9,,,
brain,female,790,0.00%,female,LINGO3,2.412137985,0.384038479,4
brain,female,790,0.00%,female,PDE4DIP,2.643596034,0.471310632,310
brain,female,790,,female,AC159540.1,,,
brain,female,790,,female,RP11-289H16.1,,,
brain,female,790,,female,RP11-219A15.1,,,
brain,female,790,,female,LINC01609,,,
brain,female,790,,female,PHYHIP,,,
brain,female,790,,female,RP11-745L13.2,,,
brain,male,6602581,3.46%,male,SLC26A3,2.203756096,0.305467281,314978
brain,male,6602581,7.95%,male,RASGEF1B,2.460305896,0.402200376,723530
brain,male,6602581,1.76%,male,RP11-701H24.9,1.954073829,0.211323617,159934
brain,male,6602581,0.36%,male,LINGO3,1.95211504,0.210585047,33100
brain,male,6602581,6.42%,male,PDE4DIP,1.988405377,0.22426846,584204
brain,male,6602581,1.29%,male,AC159540.1,1.915705294,0.196856612,117031
brain,male,6602581,0.78%,male,RP11-289H16.1,1.914798998,0.19651489,70615
brain,male,6602581,0.51%,male,RP11-219A15.1,1.849140019,0.171757918,46311
brain,male,6602581,0.61%,male,LINC01609,2.327713964,0.352206075,55538
brain,male,6602581,2.41%,male,PHYHIP,1.823948006,0.162259171,218870
brain,male,6602581,0.53%,male,RP11-745L13.2,1.846963752,0.170937348,48291
brain,female,2181179,1.78%,female,SLC26A3,2.154361884,0.286843002,162298
brain,female,2181179,3.48%,female,RASGEF1B,2.507672504,0.420060139,316862
brain,female,2181179,0.96%,female,RP11-701H24.9,1.975743052,0.219494081,87292
brain,female,2181179,0.19%,female,LINGO3,1.903005826,0.192068229,16874
brain,female,2181179,3.58%,female,PDE4DIP,2.01464827,0.234163444,325960
brain,female,2181179,0.78%,female,AC159540.1,1.836716793,0.167073692,71068
brain,female,2181179,0.50%,female,RP11-289H16.1,1.864300496,0.177474234,45484
brain,female,2181179,0.27%,female,RP11-219A15.1,1.799815097,0.153159765,24954
brain,female,2181179,0.07%,female,LINC01609,1.874794542,0.181431055,6122
brain,female,2181179,1.16%,female,PHYHIP,1.849555543,0.171914592,105508
brain,female,2181179,0.27%,female,RP11-745L13.2,1.802155375,0.154042176,24888
brain,male,4881011,1.36%,male,SLC26A3,2.13782519,0.280607778,124043
brain,male,4881011,4.32%,male,RASGEF1B,2.286485407,0.336660688,392645
brain,male,4881011,1.37%,male,RP11-701H24.9,1.970227472,0.21741441,124389
brain,male,4881011,0.32%,male,LINGO3,1.963003476,0.214690575,28747
brain,male,4881011,3.10%,male,PDE4DIP,1.860856048,0.176175492,282011
brain,male,4881011,1.14%,male,AC159540.1,1.919189871,0.198170485,104086
brain,male,4881011,0.68%,male,RP11-289H16.1,1.907676855,0.193829458,61811
brain,male,4881011,0.35%,male,RP11-219A15.1,1.827320899,0.163530934,31727
brain,male,4881011,0.38%,male,LINC01609,2.242530512,0.320087325,34597
brain,male,4881011,1.91%,male,PHYHIP,1.806947309,0.155848993,173829
brain,male,4881011,0.42%,male,RP11-745L13.2,1.832758112,0.165581056,37893
brain,female,1539615,0.68%,female,SLC26A3,2.011544165,0.232993029,61664
brain,female,1539615,1.36%,female,RASGEF1B,2.276041751,0.332722867,123818
brain,female,1539615,0.79%,female,RP11-701H24.9,2.004114991,0.23019183,72084
brain,female,1539615,0.16%,female,LINGO3,1.900210277,0.191014156,14696
brain,female,1539615,1.74%,female,PDE4DIP,1.915632796,0.196829276,157942
brain,female,1539615,0.71%,female,AC159540.1,1.835590391,0.166648978,64146
brain,female,1539615,0.45%,female,RP11-289H16.1,1.869103612,0.179285267,40948
brain,female,1539615,0.20%,female,RP11-219A15.1,1.786804583,0.1482541,18295
brain,female,1539615,0.05%,female,LINC01609,1.860291947,0.175962795,4300
brain,female,1539615,0.90%,female,PHYHIP,1.838229003,0.167643877,82107
brain,female,1539615,0.22%,female,RP11-745L13.2,1.798683953,0.152733263,20104
brain,male,540609,0.30%,male,SLC26A3,1.821567374,0.161361545,27250
brain,male,540609,0.24%,male,RASGEF1B,2.284515338,0.335917866,21917
brain,male,540609,0.37%,male,RP11-701H24.9,2.104260755,0.267952178,34099
brain,male,540609,0.01%,male,LINGO3,1.85215606,0.172895128,916
brain,male,540609,0.63%,male,PDE4DIP,1.89347437,0.188474356,57754
brain,male,540609,0.22%,male,AC159540.1,1.871373973,0.180141316,19683
brain,male,540609,0.07%,male,RP11-289H16.1,1.873870263,0.181082552,6656
brain,male,540609,0.05%,male,RP11-219A15.1,1.823556037,0.162111378,4602
brain,male,540609,0.00%,male,LINC01609,1.907163669,0.193635959,427
brain,male,540609,0.09%,male,PHYHIP,1.790251884,0.149553918,8489
brain,male,540609,0.06%,male,RP11-745L13.2,1.841888383,0.16902366,5464
brain,female,350128,0.15%,female,SLC26A3,1.941727807,0.206668501,13879
brain,female,350128,0.21%,female,RASGEF1B,2.264902691,0.328522842,18782
brain,female,350128,0.18%,female,RP11-701H24.9,2.11546918,0.272178358,16711
brain,female,350128,0.01%,female,LINGO3,1.87658216,0.182105083,873
brain,female,350128,0.49%,female,PDE4DIP,1.896824365,0.189737484,44929
brain,female,350128,0.18%,female,AC159540.1,1.797951349,0.152457031,16598
brain,female,350128,0.06%,female,RP11-289H16.1,1.890650103,0.187409455,5213
brain,female,350128,0.03%,female,RP11-219A15.1,1.805841531,0.155432055,3010
brain,female,350128,0.00%,female,LINC01609,1.811239897,0.15746753,347
brain,female,350128,0.07%,female,PHYHIP,1.790535978,0.149661037,6560
brain,female,350128,0.05%,female,RP11-745L13.2,1.816576489,0.159479712,4331
brain,male,521738,0.29%,male,SLC26A3,1.812815151,0.158061485,26525
brain,male,521738,0.20%,male,RASGEF1B,2.265996304,0.328935192,18337
brain,male,521738,0.37%,male,RP11-701H24.9,2.104260755,0.267952178,34099
brain,male,521738,0.01%,male,LINGO3,1.856849127,0.174664666,870
brain,male,521738,0.54%,male,PDE4DIP,1.846877055,0.170904658,48673
brain,male,521738,0.21%,male,AC159540.1,1.868182601,0.178937997,18701
brain,male,521738,0.06%,male,RP11-289H16.1,1.840136754,0.168363202,5556
brain,male,521738,0.05%,male,RP11-219A15.1,1.823108541,0.161942648,4545
brain,male,521738,0.00%,male,LINC01609,1.845183905,0.17026625,290
brain,male,521738,0.09%,male,PHYHIP,1.793096587,0.150626525,7769
brain,male,521738,0.06%,male,RP11-745L13.2,1.835463128,0.166600993,5301
brain,female,336636,0.15%,female,SLC26A3,1.936489859,0.204693512,13378
brain,female,336636,0.18%,female,RASGEF1B,2.245036022,0.321032037,16700
brain,female,336636,0.18%,female,RP11-701H24.9,2.11546918,0.272178358,16711
brain,female,336636,0.01%,female,LINGO3,1.876102443,0.181924204,833
brain,female,336636,0.41%,female,PDE4DIP,1.809347041,0.156753821,37108
brain,female,336636,0.18%,female,AC159540.1,1.797761884,0.152385593,16367
brain,female,336636,0.05%,female,RP11-289H16.1,1.87148933,0.180184812,4651
brain,female,336636,0.03%,female,RP11-219A15.1,1.805483302,0.155296984,2993
brain,female,336636,0.00%,female,LINC01609,1.743586761,0.131958653,255
brain,female,336636,0.07%,female,PHYHIP,1.791146166,0.149891111,6254
brain,female,336636,0.05%,female,RP11-745L13.2,1.815075649,0.158913815,4292
brain,male,480164,0.20%,male,SLC26A3,1.69166827,0.112382585,18516
brain,male,480164,0.05%,male,RASGEF1B,2.02570879,0.238333856,4868
brain,male,480164,0.16%,male,RP11-701H24.9,2.151256766,0.285672206,14964
brain,male,480164,0.01%,male,LINGO3,1.625896924,0.087583245,479
brain,male,480164,0.41%,male,PDE4DIP,1.792124897,0.150260145,36889
brain,male,480164,0.08%,male,AC159540.1,1.672854113,0.105288634,6893
brain,male,480164,0.00%,male,RP11-289H16.1,2.185096495,0.298431606,372
brain,male,480164,0.00%,male,RP11-219A15.1,1.932836822,0.203316121,33
brain,male,480164,0.00%,male,LINC01609,1.868270653,0.178971197,138
brain,male,480164,0.04%,male,PHYHIP,1.637056538,0.09179102,3715
brain,male,480164,0.00%,male,RP11-745L13.2,1.825206132,0.162733553,220
brain,female,296469,0.07%,female,SLC26A3,1.710245662,0.119387263,6112
brain,female,296469,0.04%,female,RASGEF1B,1.850010221,0.17208603,3669
brain,female,296469,0.05%,female,RP11-701H24.9,2.208136606,0.307118969,4830
brain,female,296469,0.00%,female,LINGO3,1.648303528,0.096031741,400
brain,female,296469,0.32%,female,PDE4DIP,1.791300907,0.149949457,29309
brain,female,296469,0.10%,female,AC159540.1,1.658221635,0.099771402,8969
brain,female,296469,0.00%,female,RP11-289H16.1,1.797519629,0.15229425,69
brain,female,296469,0.00%,female,RP11-219A15.1,2.037347476,0.242722267,3
brain,female,296469,0.00%,female,LINC01609,1.624865401,0.087194305,95
brain,female,296469,0.03%,female,PHYHIP,1.648592945,0.096140867,2937
brain,female,296469,0.00%,female,RP11-745L13.2,1.576486019,0.068952672,228
brain,male,475866,0.20%,male,SLC26A3,1.6786551,0.107475919,18154
brain,male,475866,0.04%,male,RASGEF1B,1.730143076,0.12688966,3195
brain,male,475866,0.16%,male,RP11-701H24.9,2.151256766,0.285672206,14964
brain,male,475866,0.01%,male,LINGO3,1.619177116,0.085049515,470
brain,male,475866,0.40%,male,PDE4DIP,1.7883321,0.148830057,36581
brain,male,475866,0.07%,male,AC159540.1,1.646300967,0.095276668,6464
brain,male,475866,0.00%,male,RP11-289H16.1,1.502386017,0.041012979,25
brain,male,475866,,male,RP11-219A15.1,,,
brain,male,475866,0.00%,male,LINC01609,1.583172374,0.071473788,72
brain,male,475866,0.04%,male,PHYHIP,1.628697545,0.08863923,3624
brain,male,475866,0.00%,male,RP11-745L13.2,1.559956291,0.062720074,132
brain,female,295017,0.07%,female,SLC26A3,1.705914625,0.117754229,6052
brain,female,295017,0.04%,female,RASGEF1B,1.790008681,0.149462218,3375
brain,female,295017,0.05%,female,RP11-701H24.9,2.208136606,0.307118969,4830
brain,female,295017,0.00%,female,LINGO3,1.64670478,0.095428927,396
brain,female,295017,0.32%,female,PDE4DIP,1.785715095,0.147843304,28973
brain,female,295017,0.10%,female,AC159540.1,1.657254339,0.09940668,8930
brain,female,295017,0.00%,female,RP11-289H16.1,1.515269655,0.045870805,33
brain,female,295017,,female,RP11-219A15.1,,,
brain,female,295017,0.00%,female,LINC01609,1.580910189,0.070620822,83
brain,female,295017,0.03%,female,PHYHIP,1.644614394,0.094640739,2907
brain,female,295017,0.00%,female,RP11-745L13.2,1.567259237,0.065473678,223
brain,male,1383513,0.47%,male,SLC26A3,1.669117379,0.103879685,42935
brain,male,1383513,0.07%,male,RASGEF1B,1.657090794,0.099345014,6042
brain,male,1383513,0.46%,male,RP11-701H24.9,1.982958181,0.222214573,42194
brain,male,1383513,0.01%,male,LINGO3,1.613189729,0.082791948,967
brain,male,1383513,0.71%,male,PDE4DIP,1.6821131,0.108779772,64533
brain,male,1383513,0.09%,male,AC159540.1,1.632666305,0.090135666,8597
brain,male,1383513,0.00%,male,RP11-289H16.1,1.497963517,0.039345459,27
brain,male,1383513,,male,RP11-219A15.1,,,
brain,male,1383513,0.00%,male,LINC01609,1.598466085,0.077240341,75
brain,male,1383513,0.45%,male,PHYHIP,1.619005253,0.084984714,41307
brain,male,1383513,0.00%,male,RP11-745L13.2,1.546942848,0.057813305,215
brain,female,866371,0.15%,female,SLC26A3,1.688641433,0.111241305,13730
brain,female,866371,0.07%,female,RASGEF1B,1.697545269,0.11459853,6017
brain,female,866371,0.17%,female,RP11-701H24.9,2.1170202,0.272763176,15095
brain,female,866371,0.01%,female,LINGO3,1.619342876,0.085112016,950
brain,female,866371,0.57%,female,PDE4DIP,1.683432807,0.109277372,51406
brain,female,866371,0.14%,female,AC159540.1,1.630159975,0.089190645,13005
brain,female,866371,0.00%,female,RP11-289H16.1,1.505731071,0.042274245,41
brain,female,866371,,female,RP11-219A15.1,,,
brain,female,866371,0.00%,female,LINC01609,1.571769164,0.067174163,97
brain,female,866371,0.32%,female,PHYHIP,1.642573483,0.093871206,29031
brain,female,866371,0.00%,female,RP11-745L13.2,1.55302172,0.060105367,445
brain,male,165837,0.02%,male,SLC26A3,1.90035481,0.191068652,2045
brain,male,165837,0.26%,male,RASGEF1B,2.20454251,0.305763802,23396
brain,male,165837,,male,RP11-701H24.9,,,
brain,male,165837,0.21%,male,LINGO3,1.989501075,0.224681597,18900
brain,male,165837,0.08%,male,PDE4DIP,2.071937818,0.25576469,7263
brain,male,165837,0.08%,male,AC159540.1,1.904196066,0.192517013,7527
brain,male,165837,0.05%,male,RP11-289H16.1,1.947699901,0.208920302,4810
brain,male,165837,0.00%,male,RP11-219A15.1,1.993680434,0.22625744,22
brain,male,165837,0.01%,male,LINC01609,1.905040129,0.19283527,1172
brain,male,165837,0.00%,male,PHYHIP,2.037674267,0.242845485,337
brain,male,165837,0.01%,male,RP11-745L13.2,1.904156138,0.192501958,1164
brain,female,123007,0.04%,female,SLC26A3,2.020499275,0.236369588,3317
brain,female,123007,0.22%,female,RASGEF1B,2.2956078,0.340100322,19858
brain,female,123007,,female,RP11-701H24.9,,,
brain,female,123007,0.13%,female,LINGO3,1.910997181,0.1950814,11441
brain,female,123007,0.13%,female,PDE4DIP,2.071233216,0.255499017,12223
brain,female,123007,0.05%,female,AC159540.1,1.923475235,0.199786298,4252
brain,female,123007,0.05%,female,RP11-289H16.1,2.025786444,0.238363135,4663
brain,female,123007,0.00%,female,RP11-219A15.1,1.703826904,0.116967045,19
brain,female,123007,0.01%,female,LINC01609,1.969815424,0.217259046,930
brain,female,123007,0.00%,female,PHYHIP,1.963117129,0.214733428,308
brain,female,123007,0.01%,female,RP11-745L13.2,1.930565146,0.202459576,1007
brain,female,1938,0.00%,female,SLC26A3,1.676690102,0.106735009,1
brain,female,1938,0.00%,female,RASGEF1B,2.053787627,0.24892109,386
brain,female,1938,,female,RP11-701H24.9,,,
brain,female,1938,0.00%,female,LINGO3,1.748040199,0.133637839,8
brain,female,1938,0.01%,female,PDE4DIP,2.30470411,0.34353012,1220
brain,female,1938,,female,AC159540.1,,,
brain,female,1938,,female,RP11-289H16.1,,,
brain,female,1938,,female,RP11-219A15.1,,,
brain,female,1938,,female,LINC01609,,,
brain,female,1938,0.00%,female,PHYHIP,1.905283133,0.192926896,12
brain,female,1938,,female,RP11-745L13.2,,,
brain,male,435,0.00%,male,SLC26A3,1.932394981,0.203149523,4
brain,male,435,0.00%,male,RASGEF1B,2.064086379,0.252804274,57
brain,male,435,,male,RP11-701H24.9,,,
brain,male,435,,male,LINGO3,,,
brain,male,435,0.00%,male,PDE4DIP,2.314997569,0.347411309,238
brain,male,435,,male,AC159540.1,,,
brain,male,435,,male,RP11-289H16.1,,,
brain,male,435,,male,RP11-219A15.1,,,
brain,male,435,,male,LINC01609,,,
brain,male,435,0.00%,male,PHYHIP,1.959224582,0.213265728,4
brain,male,435,,male,RP11-745L13.2,,,
brain,male,51997,0.02%,male,SLC26A3,2.159489733,0.288776478,2156
brain,male,51997,0.11%,male,RASGEF1B,2.322225895,0.350136778,10422
brain,male,51997,0.00%,male,RP11-701H24.9,2.280061161,0.334238401,68
brain,male,51997,0.00%,male,LINGO3,2.018233688,0.23551534,405
brain,male,51997,0.06%,male,PDE4DIP,1.905799292,0.193121516,5562
brain,male,51997,0.03%,male,AC159540.1,1.791154519,0.14989426,3062
brain,male,51997,0.06%,male,RP11-289H16.1,2.057554189,0.250341287,5782
brain,male,51997,0.00%,male,RP11-219A15.1,1.612882266,0.082676018,406
brain,male,51997,0.01%,male,LINC01609,2.297916813,0.340970944,1332
brain,male,51997,0.06%,male,PHYHIP,1.896017175,0.18943313,5142
brain,male,51997,0.01%,male,RP11-745L13.2,1.995140983,0.226808146,513
brain,female,45872,0.02%,female,SLC26A3,1.884329866,0.185026385,1692
brain,female,45872,0.07%,female,RASGEF1B,2.091980277,0.263321776,5969
brain,female,45872,0.00%,female,RP11-701H24.9,1.945117814,0.207946717,14
brain,female,45872,0.00%,female,LINGO3,2.104875901,0.268184121,272
brain,female,45872,0.07%,female,PDE4DIP,1.917903595,0.19768549,6415
